Anelloviridae.pbmc,HSV1.nasal,CMV.pbmc,EBV.nasal,EBV.pbmc
0,0,-3.3130809242897565,0,0
0,0,-2.440193023113811,0,0
0,0,2.334471228954114,0,0
0,0,2.266047860800508,0,0
0,0,-3.690125353115808,0,0
0,0,-2.1586296369624303,0,0
0,0,-2.6658849331310246,0,0
0,0,-2.190306159092851,0,0
0,0,-2.867064183059421,0,0
0,0,-2.6297228469550604,0,0
0,0,3.8527119878886698,0,0
0,0,-2.0607490097471364,0,-2.0606312581455866
0,0,-2.080743617170118,0,0
0,0,2.4269482333939325,0,0
0,0,-2.1586296369624303,0,0
0,0,-2.8771042144272596,0,0
0,0,-2.3063427526248867,0,0
0,0,2.520295094298615,0,0
0,0,-2.224920019286223,0,0
0,0,-2.1900342276456857,0,0
0,0,2.1306902419893037,0,0
0,0,2.0074438973012256,0,0
0,0,2.141379776552827,0,0
0,0,3.3130809242897565,0,2.0139773291652183
0,0,2.9904861722791676,0,0
0,0,2.345016578610692,2.125264901694002,0
0,0,2.043438327854131,0,0
0,0,-2.107477262347288,0,0
0,0,-2.200526341920108,0,0
0,0,2.0112877945878607,0,0
0,0,2.081128645564817,0,0
0,0,2.6967996584848732,0,0
0,0,3.186896484843612,0,0
0,0,2.179558200576608,0,0
0,0,2.782866408672824,2.2014271127338216,0
0,0,0,-2.4094460795902086,0
0,0,0,-2.4094460795902086,0
0,0,0,-3.018287374197905,0
